recursiveGeneration1000_50 348
ab,103
ac,89
ad,183
ae,6
ag,38
ah,40
ai,9
ak,90
al,115
am,78
an,126
ap,74
ar,102
as,138
at,164
au,2
av,1
aw,116
ax,4
ay,71
az,8
ba,128
bb,8
bd,130
be,173
bf,49
bg,1
bh,3
bi,74
bk,8
bm,49
bn,121
bo,89
bp,8
br,8
bs,110
bt,112
bu,79
bw,43
bx,5
by,150
ca,55
ce,4
cm,18
co,2
cw,2
cx,2
cy,1
da,115
db,3
dc,1
dd,1
de,102
df,1
dg,2
di,88
dm,70
dn,3
do,153
dp,42
dr,98
ds,7
du,2
dw,80
dx,3
dy,1
ea,3
eb,2
ec,1
ed,5
ee,1
eg,1
em,95
en,74
eo,1
ep,2
er,7
es,1
et,2
ev,4
ew,7
ex,73
ey,2
fa,5
fd,5
fe,9
fi,6
fl,1
fn,18
fo,2
fr,89
fu,5
fw,4
fx,2
fy,3
ga,65
gb,1
gd,84
ge,78
gh,5
gl,1
gm,1
gn,6
go,114
gp,2
gr,2
gs,4
gt,2
gu,64
ha,182
he,193
hf,19
hg,1
hi,109
hk,2
hm,103
hn,6
ho,146
hp,108
hr,116
hs,64
ht,1
hu,4
hw,96
hx,1
hy,56
ia,4
ib,19
ic,94
id,143
ie,73
if,86
ig,7
ik,19
il,1
im,103
in,146
io,9
ip,116
ir,143
is,166
it,168
iu,1
iw,1
ix,45
iy,1
iz,5
jc,1
jd,85
je,4
jh,1
jm,2
jo,3
js,7
ju,2
ka,6
kc,1
ke,4
ki,1
kk,2
km,6
kn,7
kp,1
kr,1
ks,1
kw,9
ky,3
la,1
lk,1
lm,2
lo,9
ls,1
lw,1
ma,155
mb,6
md,1
me,182
mf,71
mg,4
mh,50
mi,79
mk,72
ml,3
mm,3
mn,49
mo,141
mp,97
mr,1
ms,79
mt,8
mu,110
mw,71
mx,1
my,141
na,27
nb,1
nd,4
ne,6
nf,2
ng,19
nk,1
nm,1
nn,2
no,71
np,3
ns,5
nt,4
nu,1
nw,8
ny,2
oa,72
ob,3
oc,54
od,53
oe,90
of,138
og,7
oh,142
ok,76
om,138
on,179
oo,1
op,119
or,176
os,87
ot,139
ou,108
ow,145
ox,7
oy,97
oz,2
pa,132
pb,16
pd,124
pe,173
ph,127
pi,8
pk,6
pl,6
pn,8
po,185
pp,63
pr,143
ps,92
pt,65
pu,107
pw,2
py,104
ra,19
rd,2
re,75
rm,29
ro,2
rp,2
ru,3
rw,8
ry,74
sa,153
sb,54
sc,42
sd,116
se,184
sf,7
sg,1
sh,146
si,4
sk,15
sl,7
sm,137
sn,153
so,182
sp,127
sr,106
ss,8
st,139
su,146
sw,130
sx,4
sy,46
ta,112
tc,1
td,3
te,93
th,83
ti,55
tm,75
to,189
tp,55
tr,52
ts,8
tu,2
tw,144
tx,3
ty,135
ua,1
ub,2
uc,3
uf,8
ug,1
uk,6
um,2
un,87
up,92
ur,76
us,47
ut,5
uw,3
va,44
ve,81
vk,1
vo,43
vr,2
vx,1
vy,4
wa,114
wb,5
wd,106
we,165
wf,5
wg,48
wh,176
wi,85
wk,48
wl,2
wm,7
wn,78
wo,170
wp,9
wr,7
ws,148
wt,117
wu,64
ww,62
wx,1
wy,93
ya,4
yd,6
ye,47
yk,3
ym,1
yo,134
yp,8
yr,5
ys,8
yt,1
yu,65
yw,1
