recursiveGeneration1000_50 348,,,,,,
ab,103,103,1,51.5,,
ac,89,89,1,44.5,,
ad,183,183,1,91.5,,
ae,6,0,0,0,,
ag,38,0,0,0,,
ah,40,0,0,0,,
ai,9,0,0,0,,
ak,90,90,1,45,,
al,115,115,1,57.5,,
am,78,0,0,0,,
an,126,126,1,63,,
ap,74,0,0,0,,
ar,102,102,1,51,,
as,138,138,1,69,,
at,164,164,1,82,,
au,2,0,0,0,,
av,1,0,0,0,,
aw,116,116,1,58,,
ax,4,0,0,0,,
ay,71,0,0,0,,
az,8,0,0,0,,
ba,128,128,1,64,,
bb,8,0,0,0,,
bd,130,130,1,65,,
be,173,173,1,86.5,,
bf,49,0,0,0,,
bg,1,0,0,0,,
bh,3,0,0,0,,
bi,74,0,0,0,,
bk,8,0,0,0,,
bm,49,0,0,0,,
bn,121,121,1,60.5,,
bo,89,89,1,44.5,,
bp,8,0,0,0,,
br,8,0,0,0,,
bs,110,110,1,55,,
bt,112,112,1,56,,
bu,79,0,0,0,,
bw,43,0,0,0,,
bx,5,0,0,0,,
by,150,150,1,75,,
ca,55,0,0,0,,
ce,4,0,0,0,,
cm,18,0,0,0,,
co,2,0,0,0,,
cw,2,0,0,0,,
cx,2,0,0,0,,
cy,1,0,0,0,,
da,115,115,1,57.5,,
db,3,0,0,0,,
dc,1,0,0,0,,
dd,1,0,0,0,,
de,102,102,1,51,,
df,1,0,0,0,,
dg,2,0,0,0,,
di,88,88,1,44,,
dm,70,0,0,0,,
dn,3,0,0,0,,
do,153,153,1,76.5,,
dp,42,0,0,0,,
dr,98,98,1,49,,
ds,7,0,0,0,,
du,2,0,0,0,,
dw,80,0,0,0,,
dx,3,0,0,0,,
dy,1,0,0,0,,
ea,3,0,0,0,,
eb,2,0,0,0,,
ec,1,0,0,0,,
ed,5,0,0,0,,
ee,1,0,0,0,,
eg,1,0,0,0,,
em,95,95,1,47.5,,
en,74,0,0,0,,
eo,1,0,0,0,,
ep,2,0,0,0,,
er,7,0,0,0,,
es,1,0,0,0,,
et,2,0,0,0,,
ev,4,0,0,0,,
ew,7,0,0,0,,
ex,73,0,0,0,,
ey,2,0,0,0,,
fa,5,0,0,0,,
fd,5,0,0,0,,
fe,9,0,0,0,,
fi,6,0,0,0,,
fl,1,0,0,0,,
fn,18,0,0,0,,
fo,2,0,0,0,,
fr,89,89,1,44.5,,
fu,5,0,0,0,,
fw,4,0,0,0,,
fx,2,0,0,0,,
fy,3,0,0,0,,
ga,65,0,0,0,,
gb,1,0,0,0,,
gd,84,84,1,42,,
ge,78,0,0,0,,
gh,5,0,0,0,,
gl,1,0,0,0,,
gm,1,0,0,0,,
gn,6,0,0,0,,
go,114,114,1,57,,
gp,2,0,0,0,,
gr,2,0,0,0,,
gs,4,0,0,0,,
gt,2,0,0,0,,
gu,64,0,0,0,,
ha,182,182,1,91,,
he,193,193,1,96.5,,
hf,19,0,0,0,,
hg,1,0,0,0,,
hi,109,109,1,54.5,,
hk,2,0,0,0,,
hm,103,103,1,51.5,,
hn,6,0,0,0,,
ho,146,146,1,73,,
hp,108,108,1,54,,
hr,116,116,1,58,,
hs,64,0,0,0,,
ht,1,0,0,0,,
hu,4,0,0,0,,
hw,96,96,1,48,,
hx,1,0,0,0,,
hy,56,0,0,0,,
ia,4,0,0,0,,
ib,19,0,0,0,,
ic,94,94,1,47,,
id,143,143,1,71.5,,
ie,73,0,0,0,,
if,86,86,1,43,,
ig,7,0,0,0,,
ik,19,0,0,0,,
il,1,0,0,0,,
im,103,103,1,51.5,,
in,146,146,1,73,,
io,9,0,0,0,,
ip,116,116,1,58,,
ir,143,143,1,71.5,,
is,166,166,1,83,,
it,168,168,1,84,,
iu,1,0,0,0,,
iw,1,0,0,0,,
ix,45,0,0,0,,
iy,1,0,0,0,,
iz,5,0,0,0,,
jc,1,0,0,0,,
jd,85,85,1,42.5,,
je,4,0,0,0,,
jh,1,0,0,0,,
jm,2,0,0,0,,
jo,3,0,0,0,,
js,7,0,0,0,,
ju,2,0,0,0,,
ka,6,0,0,0,,
kc,1,0,0,0,,
ke,4,0,0,0,,
ki,1,0,0,0,,
kk,2,0,0,0,,
km,6,0,0,0,,
kn,7,0,0,0,,
kp,1,0,0,0,,
kr,1,0,0,0,,
ks,1,0,0,0,,
kw,9,0,0,0,,
ky,3,0,0,0,,
la,1,0,0,0,,
lk,1,0,0,0,,
lm,2,0,0,0,,
lo,9,0,0,0,,
ls,1,0,0,0,,
lw,1,0,0,0,,
ma,155,155,1,77.5,,
mb,6,0,0,0,,
md,1,0,0,0,,
me,182,182,1,91,,
mf,71,0,0,0,,
mg,4,0,0,0,,
mh,50,0,0,0,,
mi,79,0,0,0,,
mk,72,0,0,0,,
ml,3,0,0,0,,
mm,3,0,0,0,,
mn,49,0,0,0,,
mo,141,141,1,70.5,,
mp,97,97,1,48.5,,
mr,1,0,0,0,,
ms,79,0,0,0,,
mt,8,0,0,0,,
mu,110,110,1,55,,
mw,71,0,0,0,,
mx,1,0,0,0,,
my,141,141,1,70.5,,
na,27,0,0,0,,
nb,1,0,0,0,,
nd,4,0,0,0,,
ne,6,0,0,0,,
nf,2,0,0,0,,
ng,19,0,0,0,,
nk,1,0,0,0,,
nm,1,0,0,0,,
nn,2,0,0,0,,
no,71,0,0,0,,
np,3,0,0,0,,
ns,5,0,0,0,,
nt,4,0,0,0,,
nu,1,0,0,0,,
nw,8,0,0,0,,
ny,2,0,0,0,,
oa,72,0,0,0,,
ob,3,0,0,0,,
oc,54,0,0,0,,
od,53,0,0,0,,
oe,90,90,1,45,,
of,138,138,1,69,,
og,7,0,0,0,,
oh,142,142,1,71,,
ok,76,0,0,0,,
om,138,138,1,69,,
on,179,179,1,89.5,,
oo,1,0,0,0,,
op,119,119,1,59.5,,
or,176,176,1,88,,
os,87,87,1,43.5,,
ot,139,139,1,69.5,,
ou,108,108,1,54,,
ow,145,145,1,72.5,,
ox,7,0,0,0,,
oy,97,97,1,48.5,,
oz,2,0,0,0,,
pa,132,132,1,66,,
pb,16,0,0,0,,
pd,124,124,1,62,,
pe,173,173,1,86.5,,
ph,127,127,1,63.5,,
pi,8,0,0,0,,
pk,6,0,0,0,,
pl,6,0,0,0,,
pn,8,0,0,0,,
po,185,185,1,92.5,,
pp,63,0,0,0,,
pr,143,143,1,71.5,,
ps,92,92,1,46,,
pt,65,0,0,0,,
pu,107,107,1,53.5,,
pw,2,0,0,0,,
py,104,104,1,52,,
ra,19,0,0,0,,
rd,2,0,0,0,,
re,75,0,0,0,,
rm,29,0,0,0,,
ro,2,0,0,0,,
rp,2,0,0,0,,
ru,3,0,0,0,,
rw,8,0,0,0,,
ry,74,0,0,0,,
sa,153,153,1,76.5,,
sb,54,0,0,0,,
sc,42,0,0,0,,
sd,116,116,1,58,,
se,184,184,1,92,,
sf,7,0,0,0,,
sg,1,0,0,0,,
sh,146,146,1,73,,
si,4,0,0,0,,
sk,15,0,0,0,,
sl,7,0,0,0,,
sm,137,137,1,68.5,,
sn,153,153,1,76.5,,
so,182,182,1,91,,
sp,127,127,1,63.5,,
sr,106,106,1,53,,
ss,8,0,0,0,,
st,139,139,1,69.5,,
su,146,146,1,73,,
sw,130,130,1,65,,
sx,4,0,0,0,,
sy,46,0,0,0,,
ta,112,112,1,56,,
tc,1,0,0,0,,
td,3,0,0,0,,
te,93,93,1,46.5,,
th,83,83,1,41.5,,
ti,55,0,0,0,,
tm,75,0,0,0,,
to,189,189,1,94.5,,
tp,55,0,0,0,,
tr,52,0,0,0,,
ts,8,0,0,0,,
tu,2,0,0,0,,
tw,144,144,1,72,,
tx,3,0,0,0,,
ty,135,135,1,67.5,,
ua,1,0,0,0,,
ub,2,0,0,0,,
uc,3,0,0,0,,
uf,8,0,0,0,,
ug,1,0,0,0,,
uk,6,0,0,0,,
um,2,0,0,0,,
un,87,87,1,43.5,,
up,92,92,1,46,,
ur,76,0,0,0,,
us,47,0,0,0,,
ut,5,0,0,0,,
uw,3,0,0,0,,
va,44,0,0,0,,
ve,81,81,1,40.5,,
vk,1,0,0,0,,
vo,43,0,0,0,,
vr,2,0,0,0,,
vx,1,0,0,0,,
vy,4,0,0,0,,
wa,114,114,1,57,,
wb,5,0,0,0,,
wd,106,106,1,53,,
we,165,165,1,82.5,,
wf,5,0,0,0,,
wg,48,0,0,0,,
wh,176,176,1,88,,
wi,85,85,1,42.5,,
wk,48,0,0,0,,
wl,2,0,0,0,,
wm,7,0,0,0,,
wn,78,0,0,0,,
wo,170,170,1,85,,
wp,9,0,0,0,,
wr,7,0,0,0,,
ws,148,148,1,74,,
wt,117,117,1,58.5,,
wu,64,0,0,0,,
ww,62,0,0,0,,
wx,1,0,0,0,,
wy,93,93,1,46.5,,
ya,4,0,0,0,,
yd,6,0,0,0,,
ye,47,0,0,0,,
yk,3,0,0,0,,
ym,1,0,0,0,,0.486686390532544
yo,134,134,1,67,,
yp,8,0,0,0,,
yr,5,0,0,0,,
ys,8,0,0,0,,
yt,1,0,0,0,,
yu,65,0,0,0,,
yw,1,0,0,0,,
,17447,13094,103,6547,,
,,,,,,
,,,,,,
,20600,,,0.199704142011834,,
,,0.635631067961165,,,,
